Summary:
Number of strings read: 16384
Number of strings stored in hash table: 16384
Number of strings in their home addresses: 1440
Number of collisions: 14944
Average number of string comparisons: 5595.498474

Index    Key               Home Index    In Home    Comparisons
-------------------------------------------------------------
0        ---               ---           ---        ---        
1        ---               ---           ---        ---        
2        ---               ---           ---        ---        
3        ---               ---           ---        ---        
4        ---               ---           ---        ---        
5        ---               ---           ---        ---        
6        ---               ---           ---        ---        
7        ---               ---           ---        ---        
8        ---               ---           ---        ---        
9        ---               ---           ---        ---        
10       ---               ---           ---        ---        
11       ---               ---           ---        ---        
12       ---               ---           ---        ---        
13       ---               ---           ---        ---        
14       ---               ---           ---        ---        
15       ---               ---           ---        ---        
16       ---               ---           ---        ---        
17       ---               ---           ---        ---        
18       ---               ---           ---        ---        
19       ---               ---           ---        ---        
20       ---               ---           ---        ---        
21       ---               ---           ---        ---        
22       ---               ---           ---        ---        
23       ---               ---           ---        ---        
24       ---               ---           ---        ---        
25       ---               ---           ---        ---        
26       ---               ---           ---        ---        
27       ---               ---           ---        ---        
28       ---               ---           ---        ---        
29       ---               ---           ---        ---        
30       ---               ---           ---        ---        
31       ---               ---           ---        ---        
32       ---               ---           ---        ---        
33       ---               ---           ---        ---        
34       ---               ---           ---        ---        
35       ---               ---           ---        ---        
36       ---               ---           ---        ---        
37       ---               ---           ---        ---        
38       ---               ---           ---        ---        
39       ---               ---           ---        ---        
40       ---               ---           ---        ---        
41       ---               ---           ---        ---        
42       ---               ---           ---        ---        
43       ---               ---           ---        ---        
44       ---               ---           ---        ---        
45       ---               ---           ---        ---        
46       ---               ---           ---        ---        
47       ---               ---           ---        ---        
48       ---               ---           ---        ---        
49       ---               ---           ---        ---        
50       ---               ---           ---        ---        
51       ---               ---           ---        ---        
52       ---               ---           ---        ---        
53       ---               ---           ---        ---        
54       ---               ---           ---        ---        
55       ---               ---           ---        ---        
56       ---               ---           ---        ---        
57       ---               ---           ---        ---        
58       ---               ---           ---        ---        
59       ---               ---           ---        ---        
60       ---               ---           ---        ---        
61       ---               ---           ---        ---        
62       ---               ---           ---        ---        
63       ---               ---           ---        ---        
64       ---               ---           ---        ---        
65       ---               ---           ---        ---        
66       ---               ---           ---        ---        
67       ---               ---           ---        ---        
68       ---               ---           ---        ---        
69       ---               ---           ---        ---        
70       ---               ---           ---        ---        
71       ---               ---           ---        ---        
72       ---               ---           ---        ---        
73       ---               ---           ---        ---        
74       ---               ---           ---        ---        
75       ---               ---           ---        ---        
76       ---               ---           ---        ---        
77       ---               ---           ---        ---        
78       ---               ---           ---        ---        
79       ---               ---           ---        ---        
80       ---               ---           ---        ---        
81       ---               ---           ---        ---        
82       ---               ---           ---        ---        
83       ---               ---           ---        ---        
84       ---               ---           ---        ---        
85       ---               ---           ---        ---        
86       ---               ---           ---        ---        
87       ---               ---           ---        ---        
88       ---               ---           ---        ---        
89       ---               ---           ---        ---        
90       ---               ---           ---        ---        
91       ---               ---           ---        ---        
92       ---               ---           ---        ---        
93       ---               ---           ---        ---        
94       ---               ---           ---        ---        
95       ---               ---           ---        ---        
96       ---               ---           ---        ---        
97       a                 97            YES        1          
98       b                 98            YES        1          
99       c                 99            YES        1          
100      d                 100           YES        1          
101      e                 101           YES        1          
102      f                 102           YES        1          
103      g                 103           YES        1          
104      h                 104           YES        1          
105      i                 105           YES        1          
106      j                 106           YES        1          
107      k                 107           YES        1          
108      l                 108           YES        1          
109      m                 109           YES        1          
110      n                 110           YES        1          
111      o                 111           YES        1          
112      p                 112           YES        1          
113      q                 113           YES        1          
114      r                 114           YES        1          
115      s                 115           YES        1          
116      t                 116           YES        1          
117      u                 117           YES        1          
118      v                 118           YES        1          
119      w                 119           YES        1          
120      x                 120           YES        1          
121      y                 121           YES        1          
122      z                 122           YES        1          
123      ---               ---           ---        ---        
124      ---               ---           ---        ---        
125      ---               ---           ---        ---        
126      ---               ---           ---        ---        
127      ---               ---           ---        ---        
128      ---               ---           ---        ---        
129      ---               ---           ---        ---        
130      ---               ---           ---        ---        
131      ---               ---           ---        ---        
132      ---               ---           ---        ---        
133      ---               ---           ---        ---        
134      ---               ---           ---        ---        
135      ---               ---           ---        ---        
136      ---               ---           ---        ---        
137      ---               ---           ---        ---        
138      ---               ---           ---        ---        
139      ---               ---           ---        ---        
140      ---               ---           ---        ---        
141      ---               ---           ---        ---        
142      ---               ---           ---        ---        
143      ---               ---           ---        ---        
144      ---               ---           ---        ---        
145      ---               ---           ---        ---        
146      ---               ---           ---        ---        
147      ---               ---           ---        ---        
148      ---               ---           ---        ---        
149      ---               ---           ---        ---        
150      ---               ---           ---        ---        
151      ---               ---           ---        ---        
152      ---               ---           ---        ---        
153      ---               ---           ---        ---        
154      ---               ---           ---        ---        
155      ---               ---           ---        ---        
156      ---               ---           ---        ---        
157      ---               ---           ---        ---        
158      ---               ---           ---        ---        
159      ---               ---           ---        ---        
160      ---               ---           ---        ---        
161      ---               ---           ---        ---        
162      ---               ---           ---        ---        
163      ---               ---           ---        ---        
164      ---               ---           ---        ---        
165      ---               ---           ---        ---        
166      ---               ---           ---        ---        
167      ---               ---           ---        ---        
168      ---               ---           ---        ---        
169      ---               ---           ---        ---        
170      ---               ---           ---        ---        
171      ---               ---           ---        ---        
172      ---               ---           ---        ---        
173      ---               ---           ---        ---        
174      ---               ---           ---        ---        
175      ---               ---           ---        ---        
176      ---               ---           ---        ---        
177      ---               ---           ---        ---        
178      ---               ---           ---        ---        
179      ---               ---           ---        ---        
180      ---               ---           ---        ---        
181      ---               ---           ---        ---        
182      ---               ---           ---        ---        
183      ---               ---           ---        ---        
184      ---               ---           ---        ---        
185      ---               ---           ---        ---        
186      ---               ---           ---        ---        
187      ---               ---           ---        ---        
188      ---               ---           ---        ---        
189      ---               ---           ---        ---        
190      ---               ---           ---        ---        
191      ---               ---           ---        ---        
192      ---               ---           ---        ---        
193      ---               ---           ---        ---        
194      ---               ---           ---        ---        
195      ---               ---           ---        ---        
196      ---               ---           ---        ---        
197      ---               ---           ---        ---        
198      ---               ---           ---        ---        
199      ---               ---           ---        ---        
200      ---               ---           ---        ---        
201      ---               ---           ---        ---        
202      ---               ---           ---        ---        
203      ---               ---           ---        ---        
204      ---               ---           ---        ---        
205      ---               ---           ---        ---        
206      ---               ---           ---        ---        
207      ---               ---           ---        ---        
208      ---               ---           ---        ---        
209      ---               ---           ---        ---        
210      ---               ---           ---        ---        
211      ---               ---           ---        ---        
212      ---               ---           ---        ---        
213      ---               ---           ---        ---        
214      ---               ---           ---        ---        
215      ---               ---           ---        ---        
216      ---               ---           ---        ---        
217      ---               ---           ---        ---        
218      ---               ---           ---        ---        
219      ---               ---           ---        ---        
220      ---               ---           ---        ---        
221      ---               ---           ---        ---        
222      ---               ---           ---        ---        
223      ---               ---           ---        ---        
224      ---               ---           ---        ---        
225      ---               ---           ---        ---        
